data,ipca_pct,us_cpi_lag2,us_cpi_lag3,usd_brl_lag4
2010-10-01,0.75,0.13806642784079948,0.02110430573716293,-0.8366818957450284
2010-11-01,0.83,0.058173623071566816,0.13806642784079948,-2.459061892867054
2010-12-01,0.63,0.12451988884769616,0.058173623071566816,-0.06829046209879674
2011-01-01,0.83,0.04206464238194485,0.12451988884769616,-3.5193621867881553
2011-02-01,0.8,0.1718440789203024,0.04206464238194485,0.42497934128202797
2011-03-01,0.79,0.47632300539741657,0.1718440789203024,0.8639943575878606
2011-04-01,0.77,0.49313650254514396,0.47632300539741657,-2.9077559582774914
2011-05-01,0.47,0.97510720305094,0.49313650254514396,0.4321209938782822
2011-06-01,0.15,0.6439429535457064,0.97510720305094,-0.7290546193378766
2011-07-01,0.16,0.4704187527233561,0.6439429535457064,-1.9564170479171694
2011-08-01,0.37,-0.10709670566992902,0.4704187527233561,-3.401485847608532
2011-09-01,0.53,0.08860456667936223,-0.10709670566992902,0.41950041314435804
2011-10-01,0.43,0.27575889023645495,0.08860456667936223,-1.1899487309323442
2011-11-01,0.52,0.15184621156945077,0.27575889023645495,-0.3074754980462391
2011-12-01,0.5,-0.20626826333582926,0.15184621156945077,1.985478378204708
2012-01-01,0.56,-0.08435613304419443,-0.20626826333582926,16.834677419354847
2012-02-01,0.45,-0.24665163771382392,-0.08435613304419443,-8.946289905090598
2012-03-01,0.21,0.44001914282676413,-0.24665163771382392,7.249037607343811
2012-04-01,0.64,0.4402973551276279,0.44001914282676413,3.5838533325970534
2012-05-01,0.36,0.7594558623930991,0.4402973551276279,-7.2875573088815315
2012-06-01,0.08,0.30210295040804525,0.7594558623930991,-1.7192800874015313
2012-07-01,0.43,-0.11734793663211729,0.30210295040804525,6.605429440673993
2012-08-01,0.41,-0.14663968844504938,-0.11734793663211729,3.8252565720871434
2012-09-01,0.57,-0.16297858618254946,-0.14663968844504938,6.8981921979067495
2012-10-01,0.59,0.5565158181437102,-0.16297858618254946,-0.049448647579486416
2012-11-01,0.6,0.4462212267611232,0.5565158181437102,1.4149309850096436
2012-12-01,0.79,-0.038892514055322014,0.4462212267611232,-0.6195424167032559
2013-01-01,0.86,-0.473808669488196,-0.038892514055322014,-0.3239740820734194
2013-02-01,0.6,-0.2693064490207231,-0.473808669488196,0.034472569683829946
2013-03-01,0.47,0.2957304192926058,-0.2693064490207231,3.7463693201398307
2013-04-01,0.55,0.8190029529268728,0.2957304192926058,-3.0321723450697724
2013-05-01,0.37,0.26145085843749527,0.8190029529268728,-2.7012478590653255
2013-06-01,0.26,-0.10396394770870732,0.26145085843749527,-0.6487954534023954
2013-07-01,0.03,0.17804077735872337,-0.10396394770870732,1.94391009415813
2013-08-01,0.24,0.2399708085599528,0.17804077735872337,-0.6008541066640061
2013-09-01,0.35,0.03939975332329926,0.2399708085599528,6.504471199480433
2013-10-01,0.57,0.12029315570472043,0.03939975332329926,3.926075331863599
2013-11-01,0.54,0.11630044852635191,0.12029315570472043,3.371547210687842
2013-12-01,0.92,-0.2575283259804717,0.11630044852635191,3.589049469501826
2014-01-01,0.55,-0.2042424190523473,-0.2575283259804717,-6.006322444678613
2014-02-01,0.69,-0.00858114978825597,-0.2042424190523473,-1.228699551569512
2014-03-01,0.92,0.3720247673236088,-0.00858114978825597,5.552528829565073
2014-04-01,0.67,0.3697908650968751,0.3720247673236088,0.7613230676588367
2014-05-01,0.46,0.6440044126228228,0.3697908650968751,3.5729531290019656
2014-06-01,0.4,0.3296754453157691,0.6440044126228228,-3.82887524213823
2014-07-01,0.01,0.34926098400485106,0.3296754453157691,-3.017056655524142
2014-08-01,0.25,0.18621269440941557,0.34926098400485106,-1.193106495802021
2014-09-01,0.57,-0.03901939641608454,0.18621269440941557,0.13416815742395283
2014-10-01,0.42,-0.1670514165792225,-0.03901939641608454,-1.6301920500223166
2014-11-01,0.51,0.07525688243108508,-0.1670514165792225,2.9466515323495868
2014-12-01,0.78,-0.251227781255392,0.07525688243108508,-1.2260739172620605
2015-01-01,1.24,-0.5399417941061246,-0.251227781255392,9.439185568851594
2015-02-01,1.22,-0.5670100910010967,-0.5399417941061246,-0.2774377804977579
2015-03-01,1.32,-0.4705892373473297,-0.5670100910010967,4.741837820145656
2015-04-01,0.71,0.43430449237722435,-0.4705892373473297,3.753759618764896
2015-05-01,0.74,0.595172161109736,0.43430449237722435,0.2296513816730572
2015-06-01,0.79,0.2032873254587786,0.595172161109736,8.1095293543177
2015-07-01,0.62,0.5097232025494725,0.2032873254587786,11.458550482940733
2015-08-01,0.22,0.3502869998528224,0.5097232025494725,-6.6832917705735735
2015-09-01,0.54,0.0067047159295619,0.3502869998528224,6.1865312667023
2015-10-01,0.82,-0.14162762828194841,0.0067047159295619,-2.3971309928274787
2015-11-01,1.01,-0.15567565753034085,-0.14162762828194841,9.392122735770014
2015-12-01,0.96,-0.044968375044651676,-0.15567565753034085,7.445492044784907
2016-01-01,1.27,-0.21106803790814643,-0.044968375044651676,8.94507362821182
2016-02-01,0.9,-0.34170964371187385,-0.21106803790814643,-2.8694404591104727
2016-03-01,0.43,0.16531022090686687,-0.34170964371187385,-0.21508720101584
2016-04-01,0.61,0.0823076533454925,0.16531022090686687,1.4075728457902503
2016-05-01,0.78,0.4306000143392774,0.0823076533454925,3.534111862323286
2016-06-01,0.35,0.4741067979104008,0.4306000143392774,-1.5632729791233757
2016-07-01,0.52,0.4045790998115084,0.4741067979104008,-10.571414212483665
2016-08-01,0.44,0.32843661672818936,0.4045790998115084,-3.0374553935204607
2016-09-01,0.08,-0.1618136404749948,0.32843661672818936,4.181639040222551
2016-10-01,0.26,0.09184301078843937,-0.1618136404749948,-10.717365302773219
2016-11-01,0.18,0.2403995864628916,0.09184301078843937,0.9097140008723192
2016-12-01,0.3,0.12467485130143174,0.2403995864628916,0.040135844396416154
2017-01-01,0.38,-0.15554608673349346,0.12467485130143174,0.18208190599635632
2017-02-01,0.33,0.03273213923173923,-0.15554608673349346,-2.0054217238617555
2017-03-01,0.25,0.5827727890254764,0.03273213923173923,6.7775297852944005
2017-04-01,0.14,0.3146117386416458,0.5827727890254764,-4.05099066741249
2017-05-01,0.31,0.08127978719472129,0.3146117386416458,-4.053266239145792
2017-06-01,-0.23,0.2965533365326678,0.08127978719472129,-0.8858330668372161
2017-07-01,0.24,0.08547218268963874,0.2965533365326678,2.2295357016100414
2017-08-01,0.19,0.09071110148610728,0.08547218268963874,0.9468501451836753
2017-09-01,0.16,-0.06899226388520363,0.09071110148610728,1.4163331665832946
2017-10-01,0.42,0.29944522971085963,-0.06899226388520363,1.9884699571476983
2017-11-01,0.28,0.5294905893230117,0.29944522971085963,-5.365455534731867
2017-12-01,0.44,-0.06320421037276924,0.5294905893230117,0.5238445076181097
2018-01-01,0.29,0.0024324685907517463,-0.06320421037276924,0.6641034603285689
2018-02-01,0.32,-0.058783227726233456,0.0024324685907517463,3.4374999999999822
2018-03-01,0.09,0.5447745452775266,-0.058783227726233456,-0.46690469651193833
2018-04-01,0.22,0.45346899748657243,0.5447745452775266,1.4226146676477702
2018-05-01,0.4,0.2261125904149175,0.45346899748657243,-4.401451027811365
2018-06-01,1.26,0.3975091563348965,0.2261125904149175,2.6087781431823887
2018-07-01,0.33,0.4158916925434797,0.3975091563348965,2.4315079047120047
2018-08-01,-0.09,0.1593875701543901,0.4158916925434797,4.732535050243714
2018-09-01,0.48,0.006746326228523891,0.1593875701543901,7.351124644508911
2018-10-01,0.45,0.055554232835719475,0.006746326228523891,3.179020604763183
2018-11-01,-0.21,0.11620251758901468,0.055554232835719475,-2.6168369728720275
2018-12-01,0.15,0.1766763455725906,0.11620251758901468,10.130762470372034
2019-01-01,0.32,-0.3349348518100981,0.1766763455725906,-3.1775203733707347
2019-02-01,0.43,-0.31939628151310684,-0.3349348518100981,-7.148030670096661
2019-03-01,0.75,0.19065966652469513,-0.31939628151310684,3.9163999246846215
2019-04-01,0.57,0.4227053140096748,0.19065966652469513,0.29767297388243463
2019-05-01,0.13,0.5641358356806014,0.4227053140096748,-5.752554970579126
2019-06-01,0.01,0.5295001612890538,0.5641358356806014,2.371368328815149
2019-07-01,0.19,0.21287585893843275,0.5295001612890538,4.231643707369259
2019-08-01,0.11,0.019914718148150712,0.21287585893843275,1.2472091769959226
2019-09-01,-0.04,0.16709416224534035,0.019914718148150712,-0.11659442881403193
2019-10-01,0.1,-0.005066823608290694,0.16709416224534035,-2.7533179384373385
2019-11-01,0.51,0.07834485769300237,-0.005066823608290694,-1.756171389802197
2019-12-01,1.15,0.22861905522297832,0.07834485769300237,9.923238333023443
2020-01-01,0.21,-0.053624303466914824,0.22861905522297832,0.6258306149571125
2020-02-01,0.25,-0.09097695250538385,-0.053624303466914824,-3.84929401594466
2020-03-01,0.07,0.3879769937814803,-0.09097695250538385,5.491870832396795
2020-04-01,-0.31,0.2740618131495287,0.3879769937814803,-4.576231060606051
2020-05-01,-0.38,-0.21764510317846542,0.2740618131495287,5.924529238097587
2020-06-01,0.26,-0.6686941866997254,-0.21764510317846542,5.368310106569862
2020-07-01,0.36,0.0019501616683959,-0.6686941866997254,15.560050681307924
2020-08-01,0.24,0.5472046927775365,0.0019501616683959,4.391482486006115
2020-09-01,0.64,0.5058243501669724,0.5472046927775365,-0.012898470609901125
2020-10-01,0.86,0.31532105240814623,0.5058243501669724,0.915909551628169
2020-11-01,0.89,0.13927469432666317,0.31532105240814623,-4.979912344777215
2020-12-01,1.35,0.04149377593360981,0.13927469432666317,5.150577518113519
2021-01-01,0.25,-0.061062721784410634,0.04149377593360981,3.0961563065450504
2021-02-01,0.86,0.09414784670425114,-0.061062721784410634,2.324179623096434
2021-03-01,0.93,0.42537834870275404,0.09414784670425114,-7.625004331404417
2021-04-01,0.31,0.5474382793923205,0.42537834870275404,-2.532025432788787
2021-05-01,0.83,0.7083273133749568,0.5474382793923205,5.372640329439848
2021-06-01,0.53,0.8218909154060094,0.7083273133749568,0.9916178162493683
2021-07-01,0.96,0.8017105154762838,0.8218909154060094,3.0215905392210196
2021-08-01,0.87,0.929066290235725,0.8017105154762838,-5.155073455847514
2021-09-01,1.16,0.4810523526293853,0.929066290235725,-3.1719594344511104
2021-10-01,1.25,0.206591136361145,0.4810523526293853,-4.395856427506583
2021-11-01,0.95,0.2715970859058281,0.206591136361145,2.3869497421134644
2021-12-01,0.73,0.8308118552003085,0.2715970859058281,0.42369572008746914
2022-01-01,0.54,0.4913427504347645,0.8308118552003085,5.75700425796668
2022-02-01,1.01,0.3072517161483601,0.4913427504347645,3.7430598963120953
2022-03-01,1.62,0.8414573783545265,0.3072517161483601,-0.4093567251461927
2022-04-01,1.06,0.9133979256476854,0.8414573783545265,-0.7010800903930803
2022-05-01,0.47,1.3351379548562692,0.9133979256476854,-3.997849655048824
2022-06-01,0.67,0.5582531025655202,1.3351379548562692,-4.069138014708629
2022-07-01,-0.68,1.1023523999598828,0.5582531025655202,-7.814141728606461
2022-08-01,-0.36,1.3736075758819855,1.1023523999598828,3.8266706066106604
2022-09-01,-0.29,-0.011811913833770227,1.3736075758819855,-3.866560956272491
2022-10-01,0.59,-0.03543992763505033,-0.011811913833770227,10.765717185814893
2022-11-01,0.41,0.21507845130008807,-0.03543992763505033,-0.9469263077510615
2022-12-01,0.62,0.4056494434112379,0.21507845130008807,-0.18117338678589334
2023-01-01,0.53,-0.10100264418881899,0.4056494434112379,4.394670785865995
2023-02-01,0.84,-0.30700914645410693,-0.10100264418881899,-2.7669884955424884
2023-03-01,0.71,0.7995363834540026,-0.30700914645410693,0.7057256990679273
2023-04-01,0.61,0.5582110505732318,0.7995363834540026,-1.4431159214975287
2023-05-01,0.23,0.33107299561230263,0.5582110505732318,-2.269199072388206
2023-06-01,-0.08,0.5059038683258521,0.33107299561230263,2.127743023552231
2023-07-01,0.12,0.25184350102023245,0.5059038683258521,-2.4463305042436323
2023-08-01,0.23,0.3228914236486524,0.25184350102023245,-1.568774112274618
2023-09-01,0.26,0.19075150192227053,0.3228914236486524,1.9037334773131853
2023-10-01,0.24,0.4367155068353501,0.19075150192227053,-5.429855373928061
